"DateTime","Final price"
"2020-06-11 14:58:07",3100
"2020-06-11 15:05:13",1550
"2020-07-09 17:14:50",3100
"2020-08-11 17:07:25",930
"2020-08-17 17:07:34",3100
"2020-10-01 17:06:06",1240
"2020-10-11 17:05:16",3100
"2020-11-25 18:05:03",1240
"2020-12-01 19:12:10",3100
"2020-12-22 18:14:35",1240
"2021-01-05 18:40:18",3100
"2021-02-09 18:00:12",1240
"2021-02-22 18:08:43",3100
"2021-04-15 17:06:01",1023
"2021-04-26 17:39:43",3100
"2021-06-01 17:05:52",1023
"2021-06-14 17:28:30",3100
"2021-06-24 17:37:25",775
"2021-07-08 17:25:14",3100
"2021-08-26 17:05:37",310
"2021-09-08 17:08:24",3100
"2021-09-09 16:00:20",2099
"2021-10-04 17:07:05",209.9
"2021-10-18 17:25:56",2099
"2021-12-22 18:12:24",524.75
"2021-12-22 18:13:22",524.75
"2022-01-05 18:28:28",2099
"2022-01-27 18:24:30",524.75
"2022-02-11 18:10:03",2099
"2022-03-14 18:40:11",524.75
"2022-03-28 17:23:15",2099
"2022-06-07 17:02:20",629.7
"2022-06-19 17:02:15",2099
"2022-06-23 17:12:30",629.7
"2022-07-07 17:28:02",2099
"2022-07-20 17:02:21",629.7
"2022-08-03 17:02:19",2099
"2022-09-15 17:02:42",524.75
"2022-09-27 17:02:30",2099
"2022-11-22 18:12:00",209.9
"2022-11-29 18:28:02",2099
"2022-12-22 18:12:19",209.9
"2023-01-05 18:25:09",2099
"2023-01-19 18:02:42",209.9
"2023-02-02 18:02:46",2099
"2023-03-30 17:03:04",524.75
"2023-04-13 17:15:04",2099
"2023-05-15 17:23:17",524.75
"2023-05-29 17:23:07",2099
"2023-06-29 17:19:00",524.75
"2023-07-13 17:24:56",2099
"2023-07-27 17:02:55",524.75
"2023-08-10 17:05:04",2099
"2023-10-12 17:02:13",419.8
"2023-10-26 17:22:46",2099
"2023-11-21 18:13:35",167.92
"2023-11-28 18:30:35",2099
"2023-12-21 18:11:26",167.92
"2024-01-04 18:32:02",2099
"2024-02-06 18:02:30",167.92
"2024-02-20 18:02:18",2099
"2024-03-14 17:44:53",314.85
"2024-03-17 10:15:54",314.85
